,Path,Automation Name,Activities,Status,Next Run,Last Run Status,Last Run,Last Modified
154,Sharing,Sharing,"TicketMaster_Sharing
NetSuite_Sharing
Axciom Data Sharing
Forms and Sweeps Reporting Share
AV Artist Lineup Share
Forms and Sweeps Share
Magento Share
Mandolin_Trans_Share
AudienceView_Order_Contact_Sharing
AudienceView_Order_Charges_Sharing
AudienceView_Order_Admission_Charges_Sharing
AudienceView_Order_Admission_Sharing
AudienceView_Misc_Items_Sales_Sharing
AudienceView_Misc_Item_Charges_Sharing
AudienceView_Events_Sharing
AudienceView_Customer_Type_Sharing
Seed Share
AudienceView_Ticket_Admission_Detail_Share
AudienceView_Cancelled_Orders_Share",Running,2024-02-22 14:00:00,,--,2024-02-22 11:00:00
155,Sharing/Shopify,Shopify Opt-ins,Shopify to Shopify Opt-Ins,Scheduled,2024-02-23 01:30:00,Complete,2024-02-22 01:30:00,2024-02-22 01:30:00
156,SMS,SMS_Delete_Duplicate_Contacts,"SMS_Delete_Duplicate_Contacts (Script)
SMS_Duplicate_Contacts_2of2 (Script)",Ready,--,Complete,2024-02-22 00:50:00,2024-02-22 00:50:00
157,,Spotify Automation,Spotify Data Import (Import),Active File Drop,--,,--,2024-01-22 16:44:00
158,All Contacts Cleanup,State and Coutry Auto Append,"City_Lookup
State_Lookup
Country_Lookup",Scheduled,2024-02-22 15:30:00,Complete,2024-02-15 15:33:00,2024-02-15 15:33:00
159,MC_Activity,Status Sync,"Status Sync to All Subscribers
Unsubscribes to All Subscribers (Extract)
Unsubscribes to All Subscribers (Transfer)
Unsubscribes to All Subscribers (Import)",Scheduled,2024-02-23 03:30:00,Complete,2024-02-22 03:34:00,2024-02-22 03:34:00
160,,Sweeps_Analysis,"axs_ecomm_data_pull
netsuite_pos_ecomm_data_pull
av_ecomm_data_pull
shopify_ecomm_data_pull
shopify_pos_ecomm_data_pull
magento_ecomm_data_pull
Sweep_Entrant_Purchase_Lifecycle
Ecomm_Purchaser_Profile_Overwrite",Scheduled,2024-02-25 00:00:00,Complete,2024-02-18 00:06:00,2024-02-18 00:06:00
161,Testing,Testing,"Update User Record
update forms and sweeps
Combine Aspire Data
update allcontacts with standard layout
Update Ticket Detail
Delete Testers From All Contacts (Script)
Delete Test (Script)
delete test1 (Script)
Delete fram FaS (Script)
test kick off (Script)
Create DE (Script)
cpj_test
Create New DE (Script)
CRM no purch sample for growthential
retail and ticket sample growthential
retail purhcase sample for Growthential
ticket purchase sample for Growthential
retailandtickets_tickets
ticketsnoretail_tickets
retailnotickets_ecomm
retailandtickets_ecomm
retailandtickets_pos
retailnotickets_pos
TicketMaster ACL Update Customer Master - New to Database
TicketMaster ACL Update Customer Master - Existing
EXPRESS_DATA_APPEND_HANDRAISERCLICK33K_fullshell (Import)
EXPRESS_DATA_APPEND_HANDRAISERNOCLICK85K_fullshell (Import)
EXPRESS_DATA_APPEND_OPRYFULL1MM_fullshell (Import)
EXPRESS_DATA_APPEND_OPRYFULL1MM_Variables (Import)
EXPRESS_DATA_APPEND_OPRYMISSNOBADADD789K_fullshell (Import)
EXPRESS_DATA_APPEND_OPRYMISSNOBADADD789K_Variables (Import)
Opry Click data (Import)
Opry No Click Data (Import)",Ready,--,,--,2022-12-23 10:55:00
162,Ticket Alert,Ticket Alert Insights,"backup_ticket_alert_form
fix_ticket_alert_validation_error
calculate_times_alert_date_is_used_history
ticket_alert_submitter_info
Ticket_Alert_Subscriber_All_Info
calculate_times_alert_date_is_used_reporting",Paused Schedule,--,Complete,2024-01-31 10:54:00,2024-02-01 08:56:00
163,Marketing,Ticket Error Checking,Check For No Match,Scheduled,2024-02-22 12:00:00,Complete,2024-02-21 12:00:00,2024-02-21 12:00:00
